"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-28","2.0",",,W",,,"0.0",",,W,2400","0.0",",,W,","150.0",",,W,",,,"5.6",",,W","0.0",",,W",,,"  250",",,W","  260",",,W","6.3",",,W","9.8",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-29","3.5",",,W",,,"0.0",",,W,2400","0.0",",,W,","150.0",",,W,",,,"5.0",",,W","-1.0",",,W",,,"  310",",,W","  320",",,W","7.6",",,W","14.3",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-30","3.1",",,W",,,"0.0",",,W,2400","0.0",",,W,","150.0",",,W,",,,"3.9",",,W","-2.1",",,W",,,"  240",",,W","  250",",,W","7.2",",,W","11.2",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-01-31","2.3",",,W",,,"0.0",",,W,2400","0.0",",,W,","100.0",",,W,",,,"13.3",",,W","2.2",",,W",,,"  250",",,W","  240",",,W","6.3",",,W","9.8",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-01","2.6",",,W",,,"0.3",",,W,2400","0.0",",,W,","50.0",",,W,",,,"15.0",",,W","6.7",",,W",,,"  250",",,W","  260",",,W","6.3",",,W","9.4",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-02","1.6",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0","T,,W,",,,"10.0",",,W","3.3",",,W",,,"  170",",,W","   20",",,W","5.4",",,W","7.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-03","2.9",",,W",,,"18.5",",,W,2400","0.0",",,W,","0.0",",,W,",,,"15.0",",,W","5.6",",,W",,,"  180",",,W","  170",",,W","8.1",",,W","13.4",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-04","2.6",",,W",,,"0.0","T,,W,2400","0.0",",,W,","0.0",",,W,",,,"15.0",",,W","6.7",",,W",,,"   20",",,W","   20",",,W","6.3",",,W","9.4",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-05","3.7",",,W",,,"13.5",",,W,2400","64.0",",,W,","30.0",",,W,",,,"6.7",",,W","-0.5",",,W",,,"  310",",,W","  300",",,W","7.6",",,W","13.0",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-06","2.5",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"4.4",",,W","-1.0",",,W",,,"  250",",,W","  240",",,W","6.3",",,W","9.8",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-07","2.4",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"8.3",",,W","0.6",",,W",,,"   60",",,W","   90",",,W","8.1",",,W","11.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-08","4.7",",,W",,,"1.3",",,W,2400","3.0",",,W,","0.0",",,W,",,,"3.9",",,W","-2.1",",,W",,,"   60",",,W","   40",",,W","9.4",",,W","13.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-09","1.8",",,W",,,"0.0",",,W,2400","0.0","T,,W,","0.0","T,,W,",,,"2.2",",,W","-2.7",",,W",,,"   60",",,W","   60",",,W","6.3",",,W","8.5",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-10","2.6",",,W",,,"0.3",",,W,2400","0.0","T,,W,","0.0",",,W,",,,"3.9",",,W","-0.5",",,W",,,"  250",",,W","  240",",,W","7.2",",,W","10.7",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-11","4.5",",,W",,,"0.0","T,,W,2400","0.0","T,,W,","0.0",",,W,",,,"-0.5",",,W","-7.7",",,W",,,"  290",",,W","  290",",,W","8.9",",,W","16.5",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-12","3.0",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"-2.7",",,W","-9.3",",,W",,,"  290",",,W","  300",",,W","6.7",",,W","12.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-13","5.5",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"-5.5",",,W","-14.3",",,W",,,"  290",",,W","  290",",,W","10.3",",,W","17.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-14","2.8",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,",,,"-9.3",",,W","-18.2",",,W",,,"  310",",,W","  300",",,W","8.9",",,W","14.8",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2016-02-15","2.4",",,W",,,"11.2",",,W,2400","36.0",",,W,","0.0",",,W,",,,"1.7",",,W","-10.5",",,W",,,"   60",",,W","   60",",,W","5.4",",,W","7.6",",,W","    1",",,W",,,,,,,,,"    1",",,W","    1",",,W"
